Lena ,Springer,Junior-Janitorial-Czar,lspringer@newworld.com,Normal,+1-603-916-5154,(340)-774-8885,lspringer,ILM
Andree,McLenaghanILM,Junior-Administrative-Punk,McLenagA@ns-mail4.com,Normal,+1-510-758-9082,+1-510-921-7389,McLenagA,ILM
Stanislas,LenathenILM,Master-Management-Fellow,LenatheS@ns-mail5.com,Contract,+1-818-492-9829,+1-818-629-4205,LenatheS,ILM
Magnolia,McLenaghanILM,Chief-Janitorial-Vice-President,McLenagM@ns-mail4.com,Employee,+1-415-823-7869,+1-415-888-1353,McLenagM,ILM
Devi,LenathenILM,Chief-Janitorial-Janitor,LenatheD@ns-mail8.com,Contract,+1-804-540-7357,+1-804-731-9627,LenatheD,ILM
Lena,GuerinILM,Junior-Peons-Punk,Guerin2L@ns-mail7.com,Employee,+1-408-731-7678,+1-408-615-5991,Guerin2L,ILM
Lena,MontaldoILM,Supreme-Product-Development-Fellow,MontaldL@ns-mail8.com,Normal,+1-408-668-5160,+1-408-213-5054,MontaldL,ILM
Lena,HernandezILM,Master-Product-Development-Punk,HernandL@ns-mail3.com,Normal,+1-804-613-4173,+1-804-138-8892,HernandL,ILM
Reuben,McLenaghanILM,Chief-Product-Testing-Vice-President,McLenagR@ns-mail8.com,Contract,+1-206-395-1237,+1-206-964-6158,McLenagR,ILM
Lena,EppersonILM,Associate-Product-Development-Figurehead,EppersoL@ns-mail8.com,Employee,+1-818-438-9193,+1-818-971-7152,EppersoL,ILM
Lena,NomuraILM,Junior-Payroll-Punk,Nomura2L@ns-mail2.com,Normal,+1-408-360-2847,+1-408-548-2799,Nomura2L,ILM
Jean-Jacques,McLenaghanILM,Associate-Human-Resources-Technician,McLenagJ@ns-mail3.com,Contract,+1-818-559-1987,+1-818-928-1184,McLenagJ,ILM
Rebekkah,LenathenILM,Junior-Management-Technician,LenatheR@ns-mail9.com,Contract,+1-213-597-1635,+1-213-663-9418,LenatheR,ILM
