OBJ_ID,cn,description,loginDisabled,loginTime,fullName,employeeType,,workforceID,uid
"cn=Abdallah Collisberg,ou=users,ou=data1000,o=data","Abdallah Collisberg","This is Abdallah Collisberg's description",,,,"Normal",,"1000904","CollisbA"
"cn=Abe Pafilisberg,ou=users,ou=data1000,o=data","Abe Pafilisberg","This is Abe Pafilisberg's description",,,,"Contract",,"1000729","PafilisA"
"cn=Abigail Nunezberg,ou=users,ou=data1000,o=data","Abigail Nunezberg","This is Abigail Nunezberg's description",,"20190131233337Z",,"Contract",,"1000978","NunezbeA"
"cn=Abigail Thevenardberg,ou=users,ou=data1000,o=data","Abigail Thevenardberg","This is Abigail Thevenardberg's description",,"20190131234322Z",,"Contract",,"1000229","ThevenaA"
"cn=Access Hickeyberg,ou=users,ou=data1000,o=data","Access Hickeyberg","This is Access Hickeyberg's description",,,,"Contract",,"1000351","HickeybA"
"cn=acorry,ou=users,ou=data1000,o=data","acorry","The Guy we use the get things done.","FALSE","20191105143147Z",,,,,"acorry"
"cn=Adaline Stctestberg,ou=users,ou=data1000,o=data","Adaline Stctestberg","This is Adaline Stctestberg's description",,,,"Contract",,"1000798","StctestA"
"cn=Adan Baysberg,ou=users,ou=data1000,o=data","Adan Baysberg","This is Adan Baysberg's description",,"20190201201632Z",,"Employee",,"1000751","BaysberA"
"cn=Adie Ardielberg,ou=users,ou=data1000,o=data","Adie Ardielberg","This is Adie Ardielberg's description",,,,"Employee",,"100018","ArdielbA"
"cn=Adina Gasikowskiberg,ou=users,ou=data1000,o=data","Adina Gasikowskiberg","This is Adina Gasikowskiberg's description",,,,"Contract",,"1000295","GasikowA"
"cn=Agata Kettlesberg,ou=users,ou=data1000,o=data","Agata Kettlesberg","This is Agata Kettlesberg's description",,,,"Employee",,"1000841","KettlesA"
"cn=Agata McGillicuddyberg,ou=users,ou=data1000,o=data","Agata McGillicuddyberg","This is Agata McGillicuddyberg's description",,,,"Normal",,"1000491","McGilliA"
"cn=Agnella Schlemmerberg,ou=users,ou=data1000,o=data","Agnella Schlemmerberg","This is Agnella Schlemmerberg's description",,,,"Employee",,"1000772","SchlemmA"
"cn=Agneta Raynardberg,ou=users,ou=data1000,o=data","Agneta Raynardberg","This is Agneta Raynardberg's description",,,,"Normal",,"1000555","RaynardA"
"cn=Aida Becquartberg,ou=users,ou=data1000,o=data","Aida Becquartberg","This is Aida Becquartberg's description",,,,"Employee",,"1000509","BecquarA"
"cn=Aidan Seneseberg,ou=users,ou=data1000,o=data","Aidan Seneseberg","This is Aidan Seneseberg's description",,,,"Contract",,"1000747","SenesebA"
"cn=Ailsun Turpinberg,ou=users,ou=data1000,o=data","Ailsun Turpinberg","This is Ailsun Turpinberg's description",,,,"Normal",,"1000116","TurpinbA"
"cn=Akin Theisberg,ou=users,ou=data1000,o=data","Akin Theisberg","This is Akin Theisberg's description",,,,"Employee",,"1000742","TheisbeA"
"cn=Akram Jarvahberg,ou=users,ou=data1000,o=data","Akram Jarvahberg","This is Akram Jarvahberg's description",,,,"Contract",,"1000725","JarvahbA"
"cn=Akshay Turpinberg,ou=users,ou=data1000,o=data","Akshay Turpinberg","This is Akshay Turpinberg's description",,,,"Normal",,"1000405","TurpinbA"
"cn=Alana Suprickberg,ou=users,ou=data1000,o=data","Alana Suprickberg","This is Alana Suprickberg's description",,,,"Normal",,"1000321","SuprickA"
"cn=Albina Dikaitisberg,ou=users,ou=data1000,o=data","Albina Dikaitisberg","This is Albina Dikaitisberg's description",,,,"Normal",,"1000271","DikaitiA"
"cn=Alessandra Sammonberg,ou=users,ou=data1000,o=data","Alessandra Sammonberg","This is Alessandra Sammonberg's description",,,,"Contract",,"100025","SammonbA"
"cn=Alexandra Paigeberg,ou=users,ou=data1000,o=data","Alexandra Paigeberg","This is Alexandra Paigeberg's description",,,,"Employee",,"1000423","PaigebeA"
"cn=Alexandrina Lockhartberg,ou=users,ou=data1000,o=data","Alexandrina Lockhartberg","This is Alexandrina Lockhartberg's description",,,,"Employee",,"10002","LockharA"
"cn=Alexi Savinoberg,ou=users,ou=data1000,o=data","Alexi Savinoberg","This is Alexi Savinoberg's description",,,,"Contract",,"1000564","SavinobA"
"cn=Alexine Krabickaberg,ou=users,ou=data1000,o=data","Alexine Krabickaberg","This is Alexine Krabickaberg's description",,,,"Employee",,"1000421","KrabickA"
"cn=Alfy Phiferberg,ou=users,ou=data1000,o=data","Alfy Phiferberg","This is Alfy Phiferberg's description",,,,"Contract",,"1000835","PhiferbA"
"cn=Ali Gaiarsaberg,ou=users,ou=data1000,o=data","Ali Gaiarsaberg","This is Ali Gaiarsaberg's description",,,,"Employee",,"1000937","GaiarsaA"
